builtin,name,is_inherited
BaseException,BaseException.__getattribute__,(inherited)
NoneType,NoneType.__eq__,(inherited)
NoneType,NoneType.__ge__,(inherited)
NoneType,NoneType.__gt__,(inherited)
NoneType,NoneType.__hash__,(inherited)
NoneType,NoneType.__le__,(inherited)
NoneType,NoneType.__lt__,(inherited)
NoneType,NoneType.__ne__,(inherited)
bool,bool.__invert__,(inherited)
bytearray,bytearray.__buffer__,
bytearray,bytearray.__getattribute__,(inherited)
bytearray,bytearray.__release_buffer__,
bytearray,bytearray.__str__,(inherited)
bytes,bytes.__buffer__,
bytes,bytes.__getattribute__,(inherited)
bytes,bytes.__str__,(inherited)
complex,complex.__getattribute__,(inherited)
dict,dict.__getattribute__,(inherited)
dict_items,dict_items.__hash__,(inherited)
enumerate,enumerate.__getattribute__,(inherited)
filter,filter.__getattribute__,(inherited)
int,int.__getattribute__,(inherited)
list,list.__getattribute__,(inherited)
map,map.__getattribute__,(inherited)
memoryview,memoryview.__buffer__,
memoryview,memoryview.__getattribute__,(inherited)
memoryview,memoryview.__release_buffer__,
memoryview,memoryview._from_flags,
property,property.__getattribute__,(inherited)
range,range.__getattribute__,(inherited)
set,set.__getattribute__,(inherited)
slice,slice.__getattribute__,(inherited)
tuple,tuple.__getattribute__,(inherited)
zip,zip.__getattribute__,(inherited)
